ngay,nam,thang,gia_ruot_trang_vnd_kg,gia_ruot_do_vnd_kg,xu_huong
2015-01-01,2015,1,7900,14900,thap_vu
2015-01-02,2015,1,8200,14700,thap_vu
2015-01-03,2015,1,8100,14900,thap_vu
2015-01-04,2015,1,8300,15000,thap_vu
2015-01-05,2015,1,8500,14800,thap_vu
2015-01-06,2015,1,8500,14600,thap_vu
2015-01-07,2015,1,8300,14500,thap_vu
2015-01-08,2015,1,8600,14800,thap_vu
2015-01-09,2015,1,8500,15000,thap_vu
2015-01-10,2015,1,8800,15200,thap_vu
2015-01-11,2015,1,8700,15100,thap_vu
2015-01-12,2015,1,8500,15100,thap_vu
2015-01-13,2015,1,8500,15000,thap_vu
2015-01-14,2015,1,8600,15200,thap_vu
2015-01-15,2015,1,8500,15300,thap_vu
2015-01-16,2015,1,8600,15500,thap_vu
2015-01-17,2015,1,8500,15300,thap_vu
2015-01-18,2015,1,8400,15800,thap_vu
2015-01-19,2015,1,8500,15800,thap_vu
2015-01-20,2015,1,8400,15700,thap_vu
2015-01-21,2015,1,8500,16100,thap_vu
2015-01-22,2015,1,8900,16200,thap_vu
2015-01-23,2015,1,8700,16400,thap_vu
2015-01-24,2015,1,8500,16400,thap_vu
2015-01-25,2015,1,8800,16800,thap_vu
2015-01-26,2015,1,9000,16900,thap_vu
2015-01-27,2015,1,8800,16900,thap_vu
2015-01-28,2015,1,9100,16800,thap_vu
2015-01-29,2015,1,9400,17200,thap_vu
2015-01-30,2015,1,9500,17000,thap_vu
2015-01-31,2015,1,9700,17100,thap_vu
2015-02-01,2015,2,9400,17500,thap_vu
2015-02-02,2015,2,9300,17100,thap_vu
2015-02-03,2015,2,9000,17100,thap_vu
2015-02-04,2015,2,9200,16900,thap_vu
2015-02-05,2015,2,9100,17200,thap_vu
2015-02-06,2015,2,9100,17400,thap_vu
2015-02-07,2015,2,9400,17600,thap_vu
2015-02-08,2015,2,9200,17300,thap_vu
2015-02-09,2015,2,9000,17100,thap_vu
2015-02-10,2015,2,8900,17500,thap_vu
2015-02-11,2015,2,8800,17600,thap_vu
2015-02-12,2015,2,9000,17700,thap_vu
2015-02-13,2015,2,9200,17500,thap_vu
2015-02-14,2015,2,9200,17500,thap_vu
2015-02-15,2015,2,9500,17200,thap_vu
2015-02-16,2015,2,9700,17000,thap_vu
2015-02-17,2015,2,9700,16800,thap_vu
2015-02-18,2015,2,9600,17200,thap_vu
2015-02-19,2015,2,9900,17500,thap_vu
2015-02-20,2015,2,10100,17200,thap_vu
2015-02-21,2015,2,10100,16900,thap_vu
2015-02-22,2015,2,9900,17100,thap_vu
2015-02-23,2015,2,10200,17600,thap_vu
2015-02-24,2015,2,10000,17400,thap_vu
2015-02-25,2015,2,10000,17600,thap_vu
2015-02-26,2015,2,10000,17900,thap_vu
2015-02-27,2015,2,9700,17700,thap_vu
2015-02-28,2015,2,9500,17400,thap_vu
2015-03-01,2015,3,9600,17400,thap_vu
2015-03-02,2015,3,9600,17800,thap_vu
2015-03-03,2015,3,9400,17600,thap_vu
2015-03-04,2015,3,9300,17800,thap_vu
2015-03-05,2015,3,9500,18200,thap_vu
2015-03-06,2015,3,9400,18500,thap_vu
2015-03-07,2015,3,9300,18100,thap_vu
2015-03-08,2015,3,9300,18500,thap_vu
2015-03-09,2015,3,9500,18300,thap_vu
2015-03-10,2015,3,9300,17900,thap_vu
2015-03-11,2015,3,9100,17900,thap_vu
2015-03-12,2015,3,9200,17700,thap_vu
2015-03-13,2015,3,9400,17300,thap_vu
2015-03-14,2015,3,9100,17500,thap_vu
2015-03-15,2015,3,9200,17500,thap_vu
2015-03-16,2015,3,8900,17800,thap_vu
2015-03-17,2015,3,9100,17800,thap_vu
2015-03-18,2015,3,9000,18100,thap_vu
2015-03-19,2015,3,9200,17800,thap_vu
2015-03-20,2015,3,9400,18100,thap_vu
2015-03-21,2015,3,9200,18400,thap_vu
2015-03-22,2015,3,9300,18700,thap_vu
2015-03-23,2015,3,9200,18900,thap_vu
2015-03-24,2015,3,9400,18700,thap_vu
2015-03-25,2015,3,9600,18900,thap_vu
2015-03-26,2015,3,9600,18700,thap_vu
2015-03-27,2015,3,9300,18400,thap_vu
2015-03-28,2015,3,9500,18100,thap_vu
2015-03-29,2015,3,9800,18100,thap_vu
2015-03-30,2015,3,10000,17800,thap_vu
2015-03-31,2015,3,9800,17700,thap_vu
2015-04-01,2015,4,9800,17600,cao
2015-04-02,2015,4,9600,17700,cao
2015-04-03,2015,4,9500,17800,cao
2015-04-04,2015,4,9400,17300,cao
2015-04-05,2015,4,9200,17500,cao
2015-04-06,2015,4,9100,17300,cao
2015-04-07,2015,4,8800,17200,cao
2015-04-08,2015,4,9000,17200,cao
2015-04-09,2015,4,8600,16900,cao
2015-04-10,2015,4,8700,16800,cao
2015-04-11,2015,4,8700,17000,cao
2015-04-12,2015,4,8400,17000,cao
2015-04-13,2015,4,8500,17100,cao
2015-04-14,2015,4,8300,16600,cao
2015-04-15,2015,4,8500,16200,cao
2015-04-16,2015,4,8300,16300,cao
2015-04-17,2015,4,8400,15900,cao
2015-04-18,2015,4,8100,15700,cao
2015-04-19,2015,4,8100,15300,cao
2015-04-20,2015,4,8100,15600,cao
2015-04-21,2015,4,8100,15900,cao
2015-04-22,2015,4,8200,15800,cao
2015-04-23,2015,4,8500,16000,cao
2015-04-24,2015,4,8300,16000,cao
2015-04-25,2015,4,8300,15800,cao
2015-04-26,2015,4,8200,15600,cao
2015-04-27,2015,4,8000,15700,cao
2015-04-28,2015,4,7900,15700,cao
2015-04-29,2015,4,7900,16000,cao
2015-04-30,2015,4,8100,16200,cao
2015-05-01,2015,5,8000,16300,cao
2015-05-02,2015,5,7900,16400,cao
2015-05-03,2015,5,7700,16100,cao
2015-05-04,2015,5,7600,16100,cao
2015-05-05,2015,5,7600,15800,cao
2015-05-06,2015,5,7500,15800,cao
2015-05-07,2015,5,7300,15700,cao
2015-05-08,2015,5,7100,15500,cao
2015-05-09,2015,5,7200,15700,cao
2015-05-10,2015,5,6900,15600,cao
2015-05-11,2015,5,7000,15800,cao
2015-05-12,2015,5,7300,15500,cao
2015-05-13,2015,5,7100,15600,cao
2015-05-14,2015,5,7200,15700,cao
2015-05-15,2015,5,7400,15300,cao
2015-05-16,2015,5,7100,14900,cao
2015-05-17,2015,5,7400,14800,cao
2015-05-18,2015,5,7500,14800,cao
2015-05-19,2015,5,7700,14900,cao
2015-05-20,2015,5,7900,14700,cao
2015-05-21,2015,5,7800,14500,cao
2015-05-22,2015,5,7600,14900,cao
2015-05-23,2015,5,7700,14800,cao
2015-05-24,2015,5,7600,15000,cao
2015-05-25,2015,5,7500,15100,cao
2015-05-26,2015,5,7700,14800,cao
2015-05-27,2015,5,7700,14800,cao
2015-05-28,2015,5,7900,14500,cao
2015-05-29,2015,5,7700,14800,cao
2015-05-30,2015,5,7400,15100,cao
2015-05-31,2015,5,7400,15300,cao
2015-06-01,2015,6,7400,15400,cao
2015-06-02,2015,6,7500,15200,cao
2015-06-03,2015,6,7500,15100,cao
2015-06-04,2015,6,7600,14800,cao
2015-06-05,2015,6,7400,14400,cao
2015-06-06,2015,6,7200,14200,cao
2015-06-07,2015,6,7400,14100,cao
2015-06-08,2015,6,7200,13900,cao
2015-06-09,2015,6,7300,13700,cao
2015-06-10,2015,6,7400,13300,cao
2015-06-11,2015,6,7600,13400,cao
2015-06-12,2015,6,7400,13000,cao
2015-06-13,2015,6,7500,12900,cao
2015-06-14,2015,6,7200,12600,cao
2015-06-15,2015,6,7500,12300,cao
2015-06-16,2015,6,7700,12100,cao
2015-06-17,2015,6,7600,12400,cao
2015-06-18,2015,6,7700,12500,cao
2015-06-19,2015,6,7500,12300,cao
2015-06-20,2015,6,7200,12000,cao
2015-06-21,2015,6,7300,11800,cao
2015-06-22,2015,6,7400,11800,cao
2015-06-23,2015,6,7500,12000,cao
2015-06-24,2015,6,7500,12000,cao
2015-06-25,2015,6,7700,11700,cao
2015-06-26,2015,6,7800,11800,cao
2015-06-27,2015,6,7900,12000,cao
2015-06-28,2015,6,7800,11700,cao
2015-06-29,2015,6,7700,11500,cao
2015-06-30,2015,6,7900,11600,cao
2015-07-01,2015,7,7900,11400,cao
2015-07-02,2015,7,7900,11600,cao
2015-07-03,2015,7,7900,11700,cao
2015-07-04,2015,7,7700,11500,cao
2015-07-05,2015,7,7600,11700,cao
2015-07-06,2015,7,7700,11800,cao
2015-07-07,2015,7,7600,12100,cao
2015-07-08,2015,7,7900,12300,cao
2015-07-09,2015,7,7600,12200,cao
2015-07-10,2015,7,7700,11900,cao
2015-07-11,2015,7,7700,12100,cao
2015-07-12,2015,7,7700,11900,cao
2015-07-13,2015,7,7700,11500,cao
2015-07-14,2015,7,7600,11200,cao
2015-07-15,2015,7,7700,11300,cao
2015-07-16,2015,7,8000,11100,cao
2015-07-17,2015,7,8200,11100,cao
2015-07-18,2015,7,8000,11400,cao
2015-07-19,2015,7,7900,11700,cao
2015-07-20,2015,7,7900,12100,cao
2015-07-21,2015,7,7900,11900,cao
2015-07-22,2015,7,7900,11800,cao
2015-07-23,2015,7,7900,11600,cao
2015-07-24,2015,7,8000,11800,cao
2015-07-25,2015,7,8000,12000,cao
2015-07-26,2015,7,7700,12000,cao
2015-07-27,2015,7,7900,12000,cao
2015-07-28,2015,7,8000,11900,cao
2015-07-29,2015,7,7900,12300,cao
2015-07-30,2015,7,7900,12600,cao
